epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,8273.58,0.39911,0.25046,0.96695,0.99988,0.99487,0.995,0.92413,0.45799,0.20316,0.85062,0.0003665,0.0003665,0.0003665
68,8395.82,0.40522,0.24622,0.96963,0.99986,0.99487,0.995,0.91566,0.46141,0.20365,0.85197,0.00034175,0.00034175,0.00034175
69,8517.17,0.38822,0.23628,0.96645,0.99978,0.99487,0.995,0.922,0.45387,0.20538,0.8428,0.000317,0.000317,0.000317
70,8639.19,0.39542,0.24521,0.96034,0.99984,0.99487,0.995,0.92279,0.4586,0.20324,0.84773,0.00029225,0.00029225,0.00029225
71,8762.77,0.39468,0.20585,0.9848,0.99969,0.99487,0.995,0.91526,0.4577,0.20545,0.84809,0.0002675,0.0002675,0.0002675
72,8883.79,0.37481,0.20111,0.97876,0.99614,0.99487,0.99498,0.91544,0.45607,0.21347,0.84297,0.00024275,0.00024275,0.00024275
73,9004.4,0.37458,0.20035,0.96778,0.99979,0.99487,0.995,0.92729,0.45637,0.20454,0.84476,0.000218,0.000218,0.000218
74,9124.6,0.37712,0.19822,0.97521,0.99984,0.99487,0.995,0.92344,0.45911,0.20464,0.8469,0.00019325,0.00019325,0.00019325
75,9245.83,0.37299,0.18992,0.97298,0.99828,0.99442,0.995,0.92485,0.45515,0.20573,0.84334,0.0001685,0.0001685,0.0001685
76,9366.24,0.368,0.19057,0.97341,0.99894,0.98462,0.99446,0.92579,0.45073,0.21339,0.83967,0.00014375,0.00014375,0.00014375
77,9486.85,0.35581,0.18732,0.96179,0.99949,0.98974,0.99468,0.9224,0.44704,0.20787,0.84172,0.000119,0.000119,0.000119
78,9607.57,0.35363,0.18752,0.96145,0.99987,0.98974,0.99497,0.92239,0.44652,0.2086,0.83836,9.425e-05,9.425e-05,9.425e-05
79,9728.4,0.35049,0.18143,0.95943,0.99987,0.98974,0.99498,0.92817,0.44603,0.20709,0.83836,6.95e-05,6.95e-05,6.95e-05
80,9849.22,0.34818,0.18281,0.96022,0.99987,0.98974,0.99498,0.92974,0.44814,0.20742,0.84086,4.475e-05,4.475e-05,4.475e-05
